Coach,School,Conference,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016
Joe Golding,Abilene Christian,Southland,13,16,0.448,,,,2013-14,47,75,0.385,,,,,47,75,0.385,,,,
Dave Pilipovich,Air Force,MWC,12,21,0.364,,,,2011-12,72,94,0.434,,,,,72,94,0.434,,,,
Keith Dambrot,Akron,MAC,27,9,0.75,,,,2004-05,305,139,0.687,3,,,,325,173,0.653,3,,,
Avery Johnson,Alabama,SEC,19,15,0.559,,,,2015-16,37,30,0.552,,,,,37,30,0.552,,,,
Willie Hayes,Alabama A&M,SWAC,2,27,0.069,,,,2011-12,54,122,0.307,,,,,54,122,0.307,,,,
Rob Ehsan,Alabama-Birmingham,CUSA,17,16,0.515,,,,2016-17,17,16,0.515,,,,,17,16,0.515,,,,
Lewis Jackson,Alabama State,SWAC,8,23,0.258,,,,2005-06,179,196,0.477,2,,,,179,196,0.477,2,,,
Will Brown,Albany (NY),AEC,21,14,0.6,,,,2001-02,260,238,0.522,5,,,,260,238,0.522,5,,,
Montez Robinson,Alcorn State,SWAC,18,14,0.562,,,,2015-16,33,29,0.532,,,,,33,29,0.532,,,,
Mike Brennan,American,Patriot,8,22,0.267,,,,2013-14,57,70,0.449,1,,,,57,70,0.449,1,,,
Jim Fox,Appalachian State,Sun Belt,9,21,0.3,,,,2014-15,30,60,0.333,,,,,30,60,0.333,,,,
Sean Miller,Arizona,Pac-12,32,5,0.865,10,4,Lost Regional Semifinal,2009-10,220,66,0.769,6,5,,,340,113,0.751,10,7,,
Bobby Hurley,Arizona State,Pac-12,15,18,0.455,,,,2015-16,30,35,0.462,,,,,72,55,0.567,1,,,
Mike Anderson,Arkansas,SEC,26,10,0.722,,,Lost Second Round,2011-12,128,74,0.634,2,,,,328,172,0.656,8,2,,
Wes Flanigan,Little Rock,Sun Belt,15,17,0.469,,,,2016-17,15,17,0.469,,,,,15,17,0.469,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,7,25,0.219,,,,2008-09,105,182,0.366,1,,,,105,182,0.366,1,,,
Grant McCasland,Arkansas State,Sun Belt,20,12,0.625,,,,2016-17,20,12,0.625,,,,,20,12,0.625,,,,
Jimmy Allen,Army,Patriot,13,19,0.406,,,,2016-17,13,19,0.406,,,,,13,19,0.406,,,,
Bruce Pearl,Auburn,SEC,18,14,0.562,,,,2014-15,44,54,0.449,,,,,275,153,0.643,8,4,,
Dave Loos,Austin Peay,OVC,11,19,0.367,,,,1990-91,420,410,0.506,4,,,,420,410,0.506,4,,,
James Whitford,Ball State,MAC,21,13,0.618,,,,2013-14,54,75,0.419,,,,,54,75,0.419,,,,
Scott Drew,Baylor,Big 12,27,8,0.771,,12,Lost Regional Semifinal,2003-04,279,180,0.608,7,4,,,299,191,0.61,7,4,,
Rick Byrd,Belmont,OVC,23,7,0.767,,,,1999-00,364,205,0.64,7,,,,364,205,0.64,7,,,
Gravelle Craig,Bethune-Cookman,MEAC,10,22,0.312,,,,2011-12,74,123,0.376,,,,,74,123,0.376,,,,
Tommy Dempsey,Binghamton,AEC,12,20,0.375,,,,2012-13,36,118,0.234,,,,,155,223,0.41,,,,
Leon Rice,Boise State,MWC,20,12,0.625,,,,2010-11,142,87,0.62,2,,,,142,87,0.62,2,,,
Jim Christian,Boston College,ACC,9,23,0.281,,,,2014-15,29,67,0.302,,,,,271,221,0.551,2,,,
Joe Jones,Boston University,Patriot,18,14,0.562,,,,2011-12,107,86,0.554,,,,,193,194,0.499,,,,
Michael Huger,Bowling Green State,MAC,13,19,0.406,,,,2015-16,29,37,0.439,,,,,29,37,0.439,,,,
Brian Wardle,Bradley,MVC,13,20,0.394,,,,2015-16,18,47,0.277,,,,,113,112,0.502,,,,
Dave Rose,BYU,WCC,22,12,0.647,,,,2005-06,305,111,0.733,8,1,,,305,111,0.733,8,1,,
Mike Martin,Brown,Ivy,13,17,0.433,,,,2012-13,62,84,0.425,,,,,62,84,0.425,,,,
Tim O'Shea,Bryant,NEC,12,20,0.375,,,,2008-09,93,183,0.337,,,,,213,278,0.434,1,,,
Nathan Davis,Bucknell,Patriot,26,9,0.743,,,Lost First Round,2015-16,43,23,0.652,1,,,,43,23,0.652,1,,,
Nate Oats,Buffalo,MAC,17,15,0.531,,,,2015-16,37,30,0.552,1,,,,37,30,0.552,1,,,
Chris Holtmann,Butler,Big East,25,9,0.735,,21,Lost Regional Semifinal,2014-15,70,31,0.693,3,1,,,114,85,0.573,3,1,,
